127.0.0.1 - - [29/Sep/2022:14:24:04 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:24:05 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:24:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:25:28 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:25:42 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:25:42 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:25:42 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:25:42 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:25:43 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:25:43 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:25:43 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:25:44 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:25:44 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:25:44 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:25:44 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:26:49 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:29:54 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:30:33 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:30:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:31:08 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:33:50 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 736
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:35:02 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:35:42 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:41:20 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:41:30 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:41:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:41:41 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:41:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:41:54 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:41:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Sep/2022:14:42:03 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 857
